TestName,ParameterName,ResultTypeName
"1,25 Dihydroxy Cholecaciferol, Vitamin D",A:G Ratio,Numeric
14-3-3 Protein(Creutzfeldt -Jakob disease),Result,Numeric
17 - Hydroxy - Progesterone,17OHProgestrone,Numeric
24 hour  Urine catecholamine,A:G Ratio,Numeric
24 hour Urine  Albumin,24 hour Urine  Albumin,SubHeading
24 hour Urine  Albumin,Albumin.,Numeric
24 hour Urine  Albumin,Total Volume,Numeric
24 hour Urine  Copper,Copper,Numeric
24 hour Urine  Copper,Total Volume,Numeric
24 hour Urine 17 Ketosteroids,A:G Ratio,Numeric
24 hour Urine Aldosterone,A:G Ratio,Numeric
24 hour Urine Calcium,Calcium,Numeric
24 hour Urine Calcium,Total Volume,Numeric
24 hour Urine Citrate,A:G Ratio,Numeric
24 hour Urine Cortisol,A:G Ratio,Numeric
24 hour Urine Creatinine,24 Hr Urine  Creatinine,Numeric
24 hour Urine Creatinine,24 Hr Urine creatinine,SubHeading
24 hour Urine Creatinine,Total Volume,Numeric
24 hour Urine Free Cortisol,A:G Ratio,Numeric
24 hour Urine Lead,A:G Ratio,Numeric
24 hour Urine Mercury,A:G Ratio,Numeric
24 hour Urine Metanephrine,Metanephrine in urine 24 hrs,Numeric
24 hour Urine Metanephrine,"Metanephrine, urine per day",Numeric
24 hour Urine Metanephrine,Urine volume in 24 hours,Numeric
24 hour Urine Oxalate,Oxalate,Numeric
24 hour Urine Oxalate,Total Volume,Numeric
24 hour Urine Phosphorus,Phosphorus,Numeric
24 hour Urine Phosphorus,Total Volume,Numeric
24 hour Urine Protein,24 hour Urine Protein,SubHeading
24 hour Urine Protein,Protein,Numeric
24 hour Urine Protein,Total Volume,Numeric
24 hour Urine Uric Acid,Total Volume,Numeric
24 hour Urine Uric Acid,Uric Acid,Numeric
24 hour Urine VMA,Total Volume,Numeric
24 hour Urine VMA,"VMA- Vanyl Mandelic Acid , urine",Numeric
24 hour Urine VMA,"VMA- Vanyl Mandelic Acid, urine in 24 hours",Numeric
24 hour Urine Zinc,A:G Ratio,Numeric
24 hr Nor - Metanephrine,Nor - Metanephrine in urine,Numeric
24 hr Nor - Metanephrine,"Nor - Metanephrine, urine 24 hrs",Numeric
24 hr Nor - Metanephrine,Urine volume in 24 hours,Numeric
24 hr Urine Amylase,Amylase,Numeric
24 hr Urine Amylase,Total Volume,Numeric
24 hr Urine BUN,BUN,Numeric
24 hr Urine BUN,Total Volume,Numeric
24 hr Urine Creatinine,Creatinine,Numeric
24 hr Urine Creatinine,Total Volume,Numeric
24 hr Urine Creatinine Clearance,24 hr Urine Creatinine Clearance,SubHeading
24 hr Urine Creatinine Clearance,Creatinine Clearance,Numeric
24 hr Urine Creatinine Clearance,GFR,SingleLine Text
24 hr Urine Creatinine Clearance,Total Volume,Numeric
24 Hr Urine Microalbumin,Microalbumin,Numeric
24 Hr Urine Microalbumin,Total Volume,Numeric
24 Hr Urine Microalbumin,Urine Microalbumin,SubHeading
24 hr Urine Microalbumin  / Creatinine Ratio,RATIO :,Numeric
24 hr Urine Microalbumin  / Creatinine Ratio,Total Volume,Numeric
24 hr Urine Microalbumin  / Creatinine Ratio,Urine Creatinine,Numeric
24 hr Urine Microalbumin  / Creatinine Ratio,Urine Micro Albumin,Numeric
24 hr Urine Microalbumin  / Creatinine Ratio,Urine Microalbumin,SubHeading
24 hr Urine Potassium,Potassium,Numeric
24 hr Urine Potassium,Total Volume,Numeric
24 hr Urine Sodium,Sodium,Numeric
24 hr Urine Sodium,Total Volume,Numeric
24 hr Urine Urea Clearance Test,A:G Ratio,Numeric
5 - HIAA,A:G Ratio,Numeric
A:G Ratio,A:G Ratio,Numeric
A:G Ratio,Albumin,Numeric
A:G Ratio,Globulin,Numeric
ABG,ABG,SubHeading
ABG,BE(B),Numeric
ABG,BEecf,Numeric
ABG,CA++,Numeric
ABG,Derived Parameters,SubHeading
ABG,Glucose 30 minutes,Numeric
ABG,HCo3-,Numeric
ABG,Hco3std,Numeric
ABG,Hct,Numeric
ABG,Lactate,Numeric
ABG,pCO2,Numeric
ABG,pH,Numeric
ABG,pO2,Numeric
ABG,So2c,Numeric
ABG,Tco2,Numeric
ABG,THbc,Numeric
ABG With Electrolytes,BE(B),Numeric
ABG With Electrolytes,BEecf,Numeric
ABG With Electrolytes,CA++,Numeric
ABG With Electrolytes,Ca++ (7.4),Numeric
ABG With Electrolytes,Derived Parameters,SubHeading
ABG With Electrolytes,Glucose 30 minutes,Numeric
ABG With Electrolytes,HCo3-,Numeric
ABG With Electrolytes,Hco3std,Numeric
ABG With Electrolytes,Hct,Numeric
ABG With Electrolytes,K+,Numeric
ABG With Electrolytes,Lactate,Numeric
ABG With Electrolytes,NA+,Numeric
ABG With Electrolytes,pCO2,Numeric
ABG With Electrolytes,pH,Numeric
ABG With Electrolytes,pO2,Numeric
ABG With Electrolytes,So2c,Numeric
ABG With Electrolytes,Tco2,Numeric
ABG With Electrolytes,THbc,Numeric
Absolute Eosinophil Count ( AEC ),Absolute Eosinophil Count,Numeric
Absolute Lymphocyte Count,Absolute Lymphocyte Count,Numeric
Absolute Neutrophil Count,Absolute Neutrophil Count,Numeric
Acetone Serum,A:G Ratio,Numeric
