Diagnosis,ICD Code
Cholera,A00
Typhoid and paratyphoid fevers,A01
Typhoid fever,A010
Paratyphoid fever A,A011
Paratyphoid fever B,A012
Paratyphoid fever C,A013
"Paratyphoid fever, unspecified",A014
Other salmonella infections,A02
Localized salmonella infections,A022
Other specified salmonella infections,A028
"Salmonella infection, unspecified",A029
Shigellosis,A03
Other bacterial intestinal infections,A04
Enterocolitis due to Clostridium difficile,A047
Other specified bacterial intestinal infections,A048
"Bacterial intestinal infection, unspecified",A049
"Other bacterial foodborne intoxications, not elsewhere classified",A05
Amebiasis,A06
Amebic infection of other sites,A068
"Amebiasis, unspecified",A069
Other protozoal intestinal diseases,A07
Viral and other specified intestinal infections,A08
Acute gastroenteropathy due to Norwalk agent and other small round viruses,A081
Adenoviral enteritis,A082
Other viral enteritis,A083
"Viral intestinal infection, unspecified",A084
Other specified intestinal infections,A088
"Infectious gastroenteritis and colitis, unspecified",A09
Respiratory tuberculosis,A15
Tuberculosis of nervous system,A17
Other tuberculosis of nervous system,A178
"Tuberculosis of nervous system, unspecified",A179
Tuberculosis of other organs,A18
Tuberculosis of bones and joints,A180
Tuberculosis of genitourinary system,A181
Tuberculous peripheral lymphadenopathy,A182
"Tuberculosis of intestines, peritoneum and mesenteric glands",A183
Tuberculosis of skin and subcutaneous tissue,A184
Tuberculosis of eye,A185
Tuberculosis of (inner) (middle) ear,A186
Tuberculosis of adrenal glands,A187
Tuberculosis of other specified organs,A188
Miliary tuberculosis,A19
Plague,A20
Tularemia,A21
Anthrax,A22
Brucellosis,A23
Glanders and melioidosis,A24
Rat-bite fevers,A25
Erysipeloid,A26
Leptospirosis,A27
Other forms of leptospirosis,A278
"Leptospirosis, unspecified",A279
"Other zoonotic bacterial diseases, not elsewhere classified",A28
Leprosy [Hansen's disease],A30
Infection due to other mycobacteria,A31
Listeriosis,A32
Listerial meningitis and meningoencephalitis,A321
Listerial sepsis,A327
Other forms of listeriosis,A328
"Listeriosis, unspecified",A329
Tetanus neonatorum,A33
Obstetrical tetanus,A34
Other tetanus,A35
Diphtheria,A36
Other diphtheria,A368
"Diphtheria, unspecified",A369
Whooping cough,A37
Whooping cough due to Bordetella pertussis,A370
Whooping cough due to Bordetella parapertussis,A371
Whooping cough due to other Bordetella species,A378
"Whooping cough, unspecified species",A379
Scarlet fever,A38
Meningococcal infection,A39
Meningococcal heart disease,A395
Other meningococcal infections,A398
"Meningococcal infection, unspecified",A399
Streptococcal sepsis,A40
Other sepsis,A41
Sepsis due to Staphylococcus aureus,A410
Sepsis due to other specified staphylococcus,A411
Sepsis due to unspecified staphylococcus,A412
Sepsis due to Hemophilus influenzae,A413
Sepsis due to anaerobes,A414
Sepsis due to other Gram-negative organisms,A415
Other specified sepsis,A418
"Sepsis, unspecified organism",A419
Actinomycosis,A42
Other forms of actinomycosis,A428
"Actinomycosis, unspecified",A429
Nocardiosis,A43
Bartonellosis,A44
Erysipelas,A46
"Other bacterial diseases, not elsewhere classified",A48
Other specified botulism,A485
Other specified bacterial diseases,A488
Bacterial infection of unspecified site,A49
"Staphylococcal infection, unspecified site",A490
"Streptococcal infection, unspecified site",A491
"Hemophilus influenzae infection, unspecified site",A492
"Mycoplasma infection, unspecified site",A493
Other bacterial infections of unspecified site,A498
"Bacterial infection, unspecified",A499
Congenital syphilis,A50
"Early congenital syphilis, symptomatic",A500
"Early congenital syphilis, latent",A501
"Early congenital syphilis, unspecified",A502
Late congenital syphilitic oculopathy,A503
Late congenital neurosyphilis [juvenile neurosyphilis],A504
"Other late congenital syphilis, symptomatic",A505
"Late congenital syphilis, latent",A506
"Late congenital syphilis, unspecified",A507
"Congenital syphilis, unspecified",A509
Early syphilis,A51
Secondary syphilis of skin and mucous membranes,A513
Other secondary syphilis,A514
"Early syphilis, latent",A515
"Early syphilis, unspecified",A519
Late syphilis,A52
Cardiovascular and cerebrovascular syphilis,A520
Symptomatic neurosyphilis,A521
Asymptomatic neurosyphilis,A522
"Neurosyphilis, unspecified",A523
Other symptomatic late syphilis,A527
"Late syphilis, latent",A528
"Late syphilis, unspecified",A529
Other and unspecified syphilis,A53
Gonococcal infection,A54
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A540
Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A541
Gonococcal pelviperitonitis and other gonococcal genitourinary infection,A542
Gonococcal infection of eye,A543
Gonococcal infection of musculoskeletal system,A544
Gonococcal pharyngitis,A545
Gonococcal infection of anus and rectum,A546
Other gonococcal infections,A548
"Gonococcal infection, unspecified",A549
Chlamydial lymphogranuloma (venereum),A55
Other sexually transmitted chlamydial diseases,A56
Chlamydial infection of lower genitourinary tract,A560
Chlamydial infection of pelviperitoneum and other genitourinary organs,A561
"Chlamydial infection of genitourinary tract, unspecified",A562
Chlamydial infection of anus and rectum,A563
Chlamydial infection of pharynx,A564
Sexually transmitted chlamydial infection of other sites,A568
Chancroid,A57
Granuloma inguinale,A58
Trichomoniasis,A59
Urogenital trichomoniasis,A590
Trichomoniasis of other sites,A598
"Trichomoniasis, unspecified",A599
Anogenital herpesviral [herpes simplex] infections,A60
Herpesviral infection of genitalia and urogenital tract,A600
Herpesviral infection of perianal skin and rectum,A601
"Anogenital herpesviral infection, unspecified",A609
"Other predominantly sexually transmitted diseases, not elsewhere classified",A63
Unspecified sexually transmitted disease,A64
Nonvenereal syphilis,A65
Yaws,A66
Pinta [carate],A67
Relapsing fevers,A68
Other spirochetal infections,A69
Lyme disease,A692
Other specified spirochetal infections,A698
"Spirochetal infection, unspecified",A699
Chlamydia psittaci infections,A70
Trachoma,A71
Other diseases caused by chlamydiae,A74
Other chlamydial diseases,A748
"Chlamydial infection, unspecified",A749
Typhus fever,A75
Spotted fever [tick-borne rickettsioses],A77
Ehrlichiosis,A774
Other spotted fevers,A778
"Spotted fever, unspecified",A779
Q fever,A78
Other rickettsioses,A79
Other specified rickettsioses,A798
"Rickettsiosis, unspecified",A799
Acute poliomyelitis,A80
"Acute paralytic poliomyelitis, other and unspecified",A803
Acute nonparalytic poliomyelitis,A804
"Acute poliomyelitis, unspecified",A809
Atypical virus infections of central nervous system,A81
Creutzfeldt-Jakob disease,A810
Subacute sclerosing panencephalitis,A811
Progressive multifocal leukoencephalopathy,A812
Other atypical virus infections of central nervous system,A818
"Atypical virus infection of central nervous system, unspecified",A819
Rabies,A82
Mosquito-borne viral encephalitis,A83
Tick-borne viral encephalitis,A84
"Other viral encephalitis, not elsewhere classified",A85
Unspecified viral encephalitis,A86
Viral meningitis,A87
"Other viral infections of central nervous system, not elsewhere classified",A88
Unspecified viral infection of central nervous system,A89
Dengue fever [classical dengue],A90
Dengue hemorrhagic fever,A91
Other mosquito-borne viral fevers,A92
West Nile virus infection,A923
Rift Valley fever,A924
Zika virus disease,A925
Other specified mosquito-borne viral fevers,A928
"Mosquito-borne viral fever, unspecified",A929
"Other arthropod-borne viral fevers, not elsewhere classified",A93
Unspecified arthropod-borne viral fever,A94
Yellow fever,A95
Arenaviral hemorrhagic fever,A96
"Other viral hemorrhagic fevers, not elsewhere classified",A98
Unspecified viral hemorrhagic fever,A99
Herpesviral [herpes simplex] infections,B00
Herpesviral ocular disease,B005
Disseminated herpesviral disease,B007
Other forms of herpesviral infections,B008
"Herpesviral infection, unspecified",B009
Varicella [chickenpox],B01
"Varicella encephalitis, myelitis and encephalomyelitis",B011
Varicella pneumonia,B012
Varicella with other complications,B018
Varicella without complication,B019
Zoster [herpes zoster],B02
Zoster with other nervous system involvement,B022
Zoster ocular disease,B023
Disseminated zoster,B027
Zoster with other complications,B028
Zoster without complications,B029
Smallpox,B03
Monkeypox,B04
Measles,B05
Measles with other complications,B058
Measles without complication,B059
Rubella [German measles],B06
Rubella with neurological complications,B060
Rubella with other complications,B068
Rubella without complication,B069
Viral warts,B07
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B08
Other orthopoxvirus infections,B080
Cowpox and vaccinia not from vaccine,B0801
Orf virus disease,B0802
Pseudocowpox [milker's node],B0803
"Paravaccinia, unspecified",B0804
Other orthopoxvirus infections,B0809
Molluscum contagiosum,B081
Exanthema subitum [sixth disease],B082
Erythema infectiosum [fifth disease],B083
Enteroviral vesicular stomatitis with exanthem,B084
Enteroviral vesicular pharyngitis,B085
Parapoxvirus infections,B086
Yatapoxvirus infections,B087
Other specified viral infections characterized by skin and mucous membrane lesions,B088
Unspecified viral infection characterized by skin and mucous membrane lesions,B09
Other human herpesviruses,B10
Other human herpesvirus encephalitis,B100
Other human herpesvirus infection,B108
Acute hepatitis A,B15
Acute hepatitis B,B16
Other acute viral hepatitis,B17
Acute hepatitis C,B171
Acute hepatitis E,B172
Other specified acute viral hepatitis,B178
"Acute viral hepatitis, unspecified",B179
Chronic viral hepatitis,B18
Unspecified viral hepatitis,B19
Unspecified viral hepatitis B,B191
Unspecified viral hepatitis C,B192
Unspecified viral hepatitis without hepatic coma,B199
Human immunodeficiency virus [HIV] disease,B20
Cytomegaloviral disease,B25
Mumps,B26
Mumps with other complications,B268
Mumps without complication,B269
Infectious mononucleosis,B27
Gammaherpesviral mononucleosis,B270
Cytomegaloviral mononucleosis,B271
Other infectious mononucleosis,B278
"Infectious mononucleosis, unspecified",B279
Viral conjunctivitis,B30
"Other viral diseases, not elsewhere classified",B33
Viral carditis,B332
"Retrovirus infections, not elsewhere classified",B333
Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],B334
Other specified viral diseases,B338
Viral infection of unspecified site,B34
Dermatophytosis,B35
Other superficial mycoses,B36
Candidiasis,B37
Candidiasis of other urogenital sites,B374
Candidal meningitis,B375
Candidal endocarditis,B376
Candidal sepsis,B377
Candidiasis of other sites,B378
"Candidiasis, unspecified",B379
Coccidioidomycosis,B38
Other forms of coccidioidomycosis,B388
"Coccidioidomycosis, unspecified",B389
Histoplasmosis,B39
Blastomycosis,B40
Other forms of blastomycosis,B408
"Blastomycosis, unspecified",B409
Paracoccidioidomycosis,B41
Sporotrichosis,B42
Other forms of sporotrichosis,B428
"Sporotrichosis, unspecified",B429
Chromomycosis and pheomycotic abscess,B43
Aspergillosis,B44
Other forms of aspergillosis,B448
"Aspergillosis, unspecified",B449
Cryptococcosis,B45
Zygomycosis,B46
Mycetoma,B47
"Other mycoses, not elsewhere classified",B48
Unspecified mycosis,B49
Plasmodium falciparum malaria,B50
Plasmodium vivax malaria,B51
Plasmodium malariae malaria,B52
Other specified malaria,B53
Unspecified malaria,B54
Leishmaniasis,B55
African trypanosomiasis,B56
Chagas' disease,B57
Chagas' disease (chronic) with digestive system involvement,B573
Chagas' disease (chronic) with nervous system involvement,B574
Chagas' disease (chronic) with other organ involvement,B575
Toxoplasmosis,B58
Toxoplasma oculopathy,B580
Toxoplasma hepatitis,B581
Toxoplasma meningoencephalitis,B582
Pulmonary toxoplasmosis,B583
Toxoplasmosis with other organ involvement,B588
"Toxoplasmosis, unspecified",B589
Pneumocystosis,B59
"Other protozoal diseases, not elsewhere classified",B60
Acanthamebiasis,B601
Naegleriasis,B602
Other specified protozoal diseases,B608
Unspecified protozoal disease,B64
Schistosomiasis [bilharziasis],B65
Other fluke infections,B66
Echinococcosis,B67
"Echinococcus granulosus infection, other and multiple sites",B673
"Echinococcus granulosus infection, unspecified",B674
Echinococcus multilocularis infection of liver,B675
"Echinococcus multilocularis infection, other and multiple sites",B676
"Echinococcus multilocularis infection, unspecified",B677
"Echinococcosis, unspecified, of liver",B678
"Echinococcosis, other and unspecified",B679
Taeniasis,B68
Cysticercosis,B69
Cysticercosis of other sites,B698
"Cysticercosis, unspecified",B699
Diphyllobothriasis and sparganosis,B70
Other cestode infections,B71
Dracunculiasis,B72
Onchocerciasis,B73
Onchocerciasis with eye disease,B730
Onchocerciasis without eye disease,B731
Filariasis,B74
Trichinellosis,B75
Hookworm diseases,B76
Ascariasis,B77
Ascariasis with other complications,B778
"Ascariasis, unspecified",B779
Strongyloidiasis,B78
Trichuriasis,B79
Enterobiasis,B80
"Other intestinal helminthiases, not elsewhere classified",B81
Unspecified intestinal parasitism,B82
Other helminthiases,B83
Pediculosis and phthiriasis,B85
Scabies,B86
Myiasis,B87
Myiasis of other sites,B878
"Myiasis, unspecified",B879
Other infestations,B88
Unspecified parasitic disease,B89
Sequelae of tuberculosis,B90
Sequelae of poliomyelitis,B91
Sequelae of leprosy,B92
Sequelae of other and unspecified infectious and parasitic diseases,B94
"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",B95
Staphylococcus aureus as the cause of diseases classified elsewhere,B956
Other staphylococcus as the cause of diseases classified elsewhere,B957
Unspecified staphylococcus as the cause of diseases classified elsewhere,B958
Other bacterial agents as the cause of diseases classified elsewhere,B96
Escherichia coli [E. coli ] as the cause of diseases classified elsewhere,B962
Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere,B963
Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,B964
Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,B965
Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,B966
